user_id,domains,subdomain,wanted_skills,combined_features
0,datascience,machinelearning naturallanguageprocessing computervision,python scala sql,datascience machinelearning naturallanguageprocessing computervision python scala sql
1,datascience,machinelearning deeplearning,python javascript r,datascience machinelearning deeplearning python javascript r
2,datascience,machinelearning deeplearning naturallanguageprocessing,r sql julia,datascience machinelearning deeplearning naturallanguageprocessing r sql julia
3,datascience,machinelearning naturallanguageprocessing,python sql,datascience machinelearning naturallanguageprocessing python sql
4,datascience,machinelearning naturallanguageprocessing,sql,datascience machinelearning naturallanguageprocessing sql
5,datascience,machinelearning deeplearning naturallanguageprocessing,python,datascience machinelearning deeplearning naturallanguageprocessing python
6,datascience,machinelearning deeplearning naturallanguageprocessing,javascript scala julia,datascience machinelearning deeplearning naturallanguageprocessing javascript scala julia
7,datascience,machinelearning deeplearning naturallanguageprocessing computervision,python r sql julia,datascience machinelearning deeplearning naturallanguageprocessing computervision python r sql julia
8,datascience,machinelearning naturallanguageprocessing,python r sql julia,datascience machinelearning naturallanguageprocessing python r sql julia
9,datascience,machinelearning,scala r sql julia,datascience machinelearning scala r sql julia
10,datascience,naturallanguageprocessing computervision,python javascript,datascience naturallanguageprocessing computervision python javascript
11,datascience,machinelearning,python javascript r sql,datascience machinelearning python javascript r sql
12,datascience,machinelearning deeplearning naturallanguageprocessing computervision,python r sql,datascience machinelearning deeplearning naturallanguageprocessing computervision python r sql
13,webdevelopment,frontendwebdevelopment,python typescript mongodb nodedotjs,webdevelopment frontendwebdevelopment python typescript mongodb nodedotjs
14,webdevelopment,fullstackwebdevelopment,typescript mongodb nodedotjs,webdevelopment fullstackwebdevelopment typescript mongodb nodedotjs
15,webdevelopment,fullstackwebdevelopment,css javascript typescript,webdevelopment fullstackwebdevelopment css javascript typescript
16,webdevelopment,frontendwebdevelopment,javascript,webdevelopment frontendwebdevelopment javascript
17,webdevelopment,fullstackwebdevelopment,mongodb nodedotjs,webdevelopment fullstackwebdevelopment mongodb nodedotjs
18,datascience,machinelearning deeplearning naturallanguageprocessing computervision,python javascript r,datascience machinelearning deeplearning naturallanguageprocessing computervision python javascript r
19,webdevelopment,frontendwebdevelopment,python typescript mongodb nodedotjs,webdevelopment frontendwebdevelopment python typescript mongodb nodedotjs
